Codsipra,Assentamento,Município
PR0302000,PAINEIRA,RESERVA DO IGUACU
PR0050000,SÃO FRANCISCO,RIBEIRAO DO PINHAL
PR0134000,IRENO ALVES DOS SANTOS,RIO BONITO DO IGUACU
PR0179000,MARCOS FREIRE,RIO BONITO DO IGUACU
PR0286000,10 DE MAIO,RIO BONITO DO IGUACU
PR0332000,EGIDIO BRUNETTO,RIO BRANCO DO IVAI
PR0020000,GLEBA 3/CANCAN/CANTU,RONCADOR
PR0386000,RIO AZUL,RONCADOR
PR0051000,SÃO BRAZ,SALGADO FILHO
PR0155000,OZIEL ALVES PEREIRA,SANTA CRUZ DE MONTE CASTELO
PR0163000,17 DE ABRIL,SANTA CRUZ DE MONTE CASTELO
PR0170000,PARANÁ,SANTA CRUZ DE MONTE CASTELO
PR0388000,TEIXEIRINHA,SANTA CRUZ DE MONTE CASTELO
PR0019000,ARAGUAÍ,SANTA MARIA DO OESTE
PR0199000,RECANTO FELIZ,SANTA MARIA DO OESTE
PR0415000,ESTRELA DO OESTE,SANTA MARIA DO OESTE
PR0232000,ILDO LUIZ PERRUZO,SANTA MONICA
PR0169000,SEPÉ TIARAJÚ,SANTA TEREZA DO OESTE
PR0284000,OLGA BENARIO,SANTA TEREZA DO OESTE
PR0078000,FAZENDA BEBEDOURO,SANTANA DO ITARARE
PR0390000,CARLOS LAMARCA,SANTO ANTONIO DO PARAISO
PR0184000,NORTE SUL,SANTO INACIO
PR0186000,NOVO HORIZONTE,SANTO INACIO
PR0131000,SOL NASCENTE,SAO JERONIMO DA SERRA
PR0165000,PAULO FREIRE,SAO JERONIMO DA SERRA
PR0193000,AMÉLIA,SAO JERONIMO DA SERRA
PR0218000,JUCAPÉ,SAO JERONIMO DA SERRA
PR0219000,PALMARES,SAO JERONIMO DA SERRA
PR0220000,ARIXIGUANA,SAO JERONIMO DA SERRA
PR0229000,ROSELI NUNES,SAO JERONIMO DA SERRA
PR0233000,CRETAN,SAO JERONIMO DA SERRA
PR0382000,DOM ELDER CAMARA,SAO JERONIMO DA SERRA
PR0226000,TAPERIVA,SAO JOAO DO CAIUA
PR0250000,JOSÉ MARIA,SAO JOAO DO TRIUNFO
PR0301000,MADRE CRISTINA,SAO JOAO DO TRIUNFO
PR0025000,SAVIO DOIS VIZINHOS,SAO MIGUEL DO IGUACU
PR0401000,ANTONIO COMPANHEIRO TAVARES,SAO MIGUEL DO IGUACU
PR0173000,NOVA UNIÃO,SAO PEDRO DO IGUACU
PR0053000,SÃO LUIZ II,SAPOPEMA
PR0203000,BOA ESPERANÇA,SAPOPEMA
PR0335000,BOM SUCESSO,SAPOPEMA
PR0151000,NOVA FARTURA,SAUDADE DO IGUACU
PR0011000,ÁGUA DA PRATA,TAMARANA
PR0038000,PARI PARÓ,TAMARANA
PR0061000,SERRARIA,TAMARANA
PR0121000,MANDAÇAIA,TAMARANA
PR0130000,MUNDO NOVO,TAMARANA
PR0132000,UNIÃO CAMPONESA,TAMARANA
PR0150000,DO TESOURO,TAMARANA
PR0198000,CRUZ DE MALTA,TAMARANA
PR0214000,CACIQUE,TAMARANA
PR0216000,SANTA MARIA,TAMARANA
PR0030000,RIO DA AREIA,TEIXEIRA SOARES
PR0157000,ERNESTO CHE GUEVARA,TEIXEIRA SOARES
PR0188000,SÃO JOAQUIM,TEIXEIRA SOARES
PR0378000,JOÃO MARIA DE AGUSTINHO,TEIXEIRA SOARES
PR0210000,NOSSA SENHORA DA PENHA,TERRA RICA
PR0211000,SANTO ANTONIO DAS ÁGUAS DO CORVO I,TERRA RICA
PR0212000,SÃO PAULO,TERRA RICA
PR0253000,VIDA NOVA,TERRA RICA
PR0384000,SÉTIMO GARIBALDI,TERRA RICA
PR0026000,VASTO HORIZONTE,TIBAGI
PR0079000,FAZENDA RETIRO,TIBAGI
PR0149000,BOA VISTA,TIBAGI
PR0161000,MENINO JESUS,TIBAGI
PR0200000,RINCÃO,TIBAGI
PR0228000,RANCHO ALEGRE,TIBAGI
PR0244000,DONA TONIA,TIBAGI
PR0331000,NOSSA SENHORA APARECIDA II,TIBAGI
PR0381000,PROCOPIACK,TRES BARRAS DO PARANA
PR0041000,FAZENDA MARRECAS,TURVO
PR0113000,BELA VISTA,VENTANIA
PR0029000,SANTA MADALENA,WENCESLAU BRAZ
PR0310000,ESTRELA DE DAVI,XAMBRE
