Codsipra,Assentamento,Município,nomePA
PR0193000,AMÉLIA,SAO JERONIMO DA SERRA,PAAMELIA
PR0218000,JUCAPÉ,SAO JERONIMO DA SERRA,PAJUCAPE
PR0219000,PALMARES,SAO JERONIMO DA SERRA,PAPALMARES
PR0220000,ARIXIGUANA,SAO JERONIMO DA SERRA,PAARIXIGUANA
PR0229000,ROSELI NUNES,SAO JERONIMO DA SERRA,PAROSELINUNES
PR0233000,CRETAN,SAO JERONIMO DA SERRA,PACRETAN
PR0382000,DOM ELDER CAMARA,SAO JERONIMO DA SERRA,PADOMELDERCAMARA
PR0226000,TAPERIVA,SAO JOAO DO CAIUA,PATAPERIVA
PR0250000,JOSÉ MARIA,SAO JOAO DO TRIUNFO,PAJOSEMARIA
PR0301000,MADRE CRISTINA,SAO JOAO DO TRIUNFO,PAMADRECRISTINA
PR0025000,SAVIO DOIS VIZINHOS,SAO MIGUEL DO IGUACU,PASAVIODOISVIZINHOS
PR0401000,ANTONIO COMPANHEIRO TAVARES,SAO MIGUEL DO IGUACU,PAANTONIOCOMPANHEIROTAVARES
PR0173000,NOVA UNIÃO,SAO PEDRO DO IGUACU,PANOVAUNIAO
PR0053000,SÃO LUIZ II,SAPOPEMA,PASAOLUIZII
PR0203000,BOA ESPERANÇA,SAPOPEMA,PABOAESPERANCA
PR0335000,BOM SUCESSO,SAPOPEMA,PABOMSUCESSO
PR0151000,NOVA FARTURA,SAUDADE DO IGUACU,PANOVAFARTURA
PR0011000,ÁGUA DA PRATA,TAMARANA,PAAGUADAPRATA
PR0038000,PARI PARÓ,TAMARANA,PAPARIPARO
PR0061000,SERRARIA,TAMARANA,PASERRARIA
PR0121000,MANDAÇAIA,TAMARANA,PAMANDACAIA
PR0130000,MUNDO NOVO,TAMARANA,PAMUNDONOVO
PR0132000,UNIÃO CAMPONESA,TAMARANA,PAUNIAOCAMPONESA
PR0150000,DO TESOURO,TAMARANA,PADOTESOURO
PR0198000,CRUZ DE MALTA,TAMARANA,PACRUZDEMALTA
PR0214000,CACIQUE,TAMARANA,PACACIQUE
PR0216000,SANTA MARIA,TAMARANA,PASANTAMARIA
PR0030000,RIO DA AREIA,TEIXEIRA SOARES,PARIODAAREIA
PR0157000,ERNESTO CHE GUEVARA,TEIXEIRA SOARES,PAERNESTOCHEGUEVARA
PR0188000,SÃO JOAQUIM,TEIXEIRA SOARES,PASAOJOAQUIM
PR0378000,JOÃO MARIA DE AGUSTINHO,TEIXEIRA SOARES,PAJOAOMARIADEAGUSTINHO
PR0210000,NOSSA SENHORA DA PENHA,TERRA RICA,PANOSSASENHORADAPENHA
PR0211000,SANTO ANTONIO DAS ÁGUAS DO CORVO I,TERRA RICA,PASANTOANTONIODASAGUASDOCORVOI
PR0212000,SÃO PAULO,TERRA RICA,PASAOPAULO
PR0253000,VIDA NOVA,TERRA RICA,PAVIDANOVA
